Filename,SegCellCount,NucleiCount,CellID,totMyc,meanMyc,SumGolATG9,totATG9A,PearsonCoeff,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
,,,,,,,,,,,,,2,20.4486,0.0352552,995,,,,
,,,,,,,,,,,,,3,12.556,0.380756,1380,,,,
,,,,,,,,,,,,,3,6.76534,0.155123,1231,,,,
,,,,,,,,,,,,,3,12.9531,0.0493572,1164,,,,
,,,,,,,,,,,,,3,10.5734,0.155123,1421,,,,
,,,,,,,,,,,,,3,7.20925,0.0493572,1069,,,,
,,,,,,,,,,,,,3,6.41286,1.13522,1814,,,,
,,,,,,,,,,,,,3,7.98019,0.0423062,995,,,,
,,,,,,,,,,,,,3,4.5989,0.00705104,1072,,,,
,,,,,,,,,,,,,3,3.87332,0.119868,1163,,,,
,,,,,,,,,,,,,3,2.79281,0.162174,1210,,,,
,,,,,,,,,,,,,3,5.30926,0.0352552,1128,,,,
,,,,,,,,,,,,,3,7.6984,0.105766,1380,,,,
,,,,,,,,,,,,,3,4.07676,0.00705104,1167,,,,
,,,,,,,,,,,,,3,2.53761,0.225633,1494,,,,
,,,,,,,,,,,,,3,4.71645,0.119868,1156,,,,
,,,,,,,,,,,,,3,6.77323,0.155123,1180,,,,
,,,,,,,,,,,,,3,1.50598,0.0423062,1016,,,,
,,,,,,,,,,,,,3,4.0576,0.190378,1513,,,,
,,,,,,,,,,,,,3,5.94068,0.0564083,1260,,,,
,,,,,,,,,,,,,3,4.71617,0.0564083,1095,,,,
,,,,,,,,,,,,,3,4.40854,0.0282041,1249,,,,
,,,,,,,,,,,,,3,5.05404,0.0141021,1247,,,,
,,,,,,,,,,,,,3,2.39138,0.00705104,935,,,,
,,,,,,,,,,,,,3,3.53691,0.00705104,866,,,,
,,,,,,,,,,,,,3,5.26372,0.00705104,1018,,,,
,,,,,,,,,,,,,3,6.42542,0.0282041,1286,,,,
,,,,,,,,,,,,,3,9.39264,0.00705104,892,,,,
,,,,,,,,,,,,,3,6.05412,0.00705104,1038,,,,
,,,,,,,,,,,,,3,6.23111,0.493572,1395,,,,
,,,,,,,,,,,,,3,4.94487,0.00705104,1045,,,,
,,,,,,,,,,,,,3,6.66574,0.0634593,1209,,,,
