Filename,SegCellCount,NucleiCount,CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,PearsonCoeff,SumGolATG9,totATG9A,MajorAxisLength,MinorAxisLength,nCell,NucDis,gCell,GolATG9Dis,pCell,nonGolATG9Dis
,,,3,0.535006,0.200296,1.42904,0.706467,0.779199,0.475726,1.109e+07,1.05043e+08,47.1795,39.571,3,1.72477,1,10.3829,1,13.8528
,,,4,0.574955,0.236526,1.39762,0.696173,0.817656,0.530495,1.46585e+06,9.15259e+07,44.8776,34.7464,4,2.36705,1,6.25921,1,10.3929
,,,5,0.632232,0.253729,1.57537,0.927707,0.866281,0.562966,2.23178e+07,1.50484e+08,79.2077,24.6128,5,2.55879,1,8.25136,1,9.59409
,,,6,0.64289,0.276863,1.49282,0.941654,0.822188,0.564104,5.74249e+06,1.21191e+08,69.1446,24.0462,6,2.57515,1,2.24363,1,11.8698
,,,,,,,,,,,,,,,,1,5.68876,1,10.1953
,,,,,,,,,,,,,,,,1,6.97102,1,4.8573
,,,,,,,,,,,,,,,,2,5.56979,2,12.863
,,,,,,,,,,,,,,,,2,4.55081,2,10.8452
,,,,,,,,,,,,,,,,2,1.41055,2,4.70993
,,,,,,,,,,,,,,,,2,1.27713,2,9.45804
,,,,,,,,,,,,,,,,2,2.56692,2,9.61351
,,,,,,,,,,,,,,,,2,8.87153,2,10.3616
,,,,,,,,,,,,,,,,3,3.1531,2,11.1559
,,,,,,,,,,,,,,,,3,5.27709,2,23.5819
,,,,,,,,,,,,,,,,3,4.47082,3,
,,,,,,,,,,,,,,,,3,6.37753,4,20.7157
,,,,,,,,,,,,,,,,4,3.98199,4,4.84351
,,,,,,,,,,,,,,,,5,9.44388,5,9.41908
,,,,,,,,,,,,,,,,5,11.7923,5,7.53454
,,,,,,,,,,,,,,,,5,16.4158,5,7.9147
,,,,,,,,,,,,,,,,5,17.4943,5,10.6561
,,,,,,,,,,,,,,,,5,14.0613,5,12.6078
,,,,,,,,,,,,,,,,5,10.5458,5,14.6052
,,,,,,,,,,,,,,,,5,1.31787,5,11.7883
,,,,,,,,,,,,,,,,5,2.82752,5,4.28134
,,,,,,,,,,,,,,,,5,7.2786,5,7.23472
,,,,,,,,,,,,,,,,5,10.3895,5,5.36187
,,,,,,,,,,,,,,,,5,9.28407,5,13.9172
,,,,,,,,,,,,,,,,5,7.29504,5,26.339
,,,,,,,,,,,,,,,,5,7.92664,5,19.0232
,,,,,,,,,,,,,,,,5,7.50944,5,26.1255
,,,,,,,,,,,,,,,,5,8.48126,5,16.2095
,,,,,,,,,,,,,,,,5,9.10673,5,24.1009
,,,,,,,,,,,,,,,,5,8.98714,6,22.5315
,,,,,,,,,,,,,,,,6,6.94048,6,16.904
,,,,,,,,,,,,,,,,6,6.83145,6,5.69667
,,,,,,,,,,,,,,,,6,7.32362,6,11.0795
,,,,,,,,,,,,,,,,6,11.5434,,
,,,,,,,,,,,,,,,,6,7.06312,,
,,,,,,,,,,,,,,,,6,12.1537,,
,,,,,,,,,,,,,,,,6,1.80632,,
,,,,,,,,,,,,,,,,6,1.77446,,
,,,,,,,,,,,,,,,,6,2.55177,,
ATG9-GolSeg_1Feb22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_006.nd2,4,4,1,0.53968,0.176253,1.65248,0.843483,0.782473,0.440761,467099,9.64416e+07,54.2765,35.3221,1,2.24764,1,5.23652,1,7.87947
,,,2,0.530989,0.192852,1.462,0.846937,0.798993,0.446976,8.23883e+06,1.23175e+08,58.819,39.9261,2,2.12697,2,11.7351,1,7.26936
,,,3,0.657119,0.226125,1.90959,0.915854,0.722255,0.595855,8.96631e+06,9.40059e+07,50.7379,38.7517,3,1.52661,2,9.52647,1,5.7418
,,,4,0.628475,0.288074,1.37111,0.911802,0.785032,0.535775,,9.33914e+07,54.898,41.1234,4,1.9725,2,7.97589,1,7.574
,,,,,,,,,,,,,,,,2,8.33602,1,7.7209
,,,,,,,,,,,,,,,,2,4.24596,1,5.50952
,,,,,,,,,,,,,,,,2,10.6916,1,7.86264
,,,,,,,,,,,,,,,,2,6.44962,2,12.9113
,,,,,,,,,,,,,,,,2,8.23755,2,11.6842
,,,,,,,,,,,,,,,,2,9.22545,3,9.08808
,,,,,,,,,,,,,,,,2,10.8944,3,5.93549
,,,,,,,,,,,,,,,,3,0.713468,3,4.39068
,,,,,,,,,,,,,,,,3,3.74209,3,9.4611
,,,,,,,,,,,,,,,,3,2.00347,4,11.6719
,,,,,,,,,,,,,,,,3,2.61425,4,11.8848
,,,,,,,,,,,,,,,,3,6.10715,4,10.5689
,,,,,,,,,,,,,,,,3,5.30254,,
,,,,,,,,,,,,,,,,3,9.65479,,
,,,,,,,,,,,,,,,,4,,,
ATG9-GolSeg_1Feb22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_007.nd2,2,2,1,0.650043,0.165939,2.54645,0.86347,0.771608,0.60503,1.83887e+07,1.487e+08,52.8272,30.2366,1,1.91823,1,1.16895,1,11.4158
,,,2,0.650982,0.165565,2.55959,0.918399,0.752461,0.591315,3.1259e+07,1.46087e+08,49.4438,32.1483,2,1.55124,1,3.21459,1,9.39788
,,,,,,,,,,,,,,,,2,0.739748,1,4.68179
,,,,,,,,,,,,,,,,2,6.78184,1,26.594
,,,,,,,,,,,,,,,,2,5.16317,1,3.68468
,,,,,,,,,,,,,,,,2,2.52907,1,2.08076
,,,,,,,,,,,,,,,,2,0.356717,2,6.83248
,,,,,,,,,,,,,,,,,,2,9.59649
,,,,,,,,,,,,,,,,,,2,7.67511
,,,,,,,,,,,,,,,,,,2,13.4446
,,,,,,,,,,,,,,,,,,2,3.07061
,,,,,,,,,,,,,,,,,,2,2.35123
,,,,,,,,,,,,,,,,,,2,12.7171
,,,,,,,,,,,,,,,,,,2,12.1897
,,,,,,,,,,,,,,,,,,2,8.0246
,,,,,,,,,,,,,,,,,,2,11.4312
,,,,,,,,,,,,,,,,,,2,13.8942
,,,,,,,,,,,,,,,,,,2,13.9265
,,,,,,,,,,,,,,,,,,2,14.273
,,,,,,,,,,,,,,,,,,2,10.8633
ATG9-GolSeg_1Feb22_4019_000_A_NSW4019_TGN46-4888_ATG9-647_B_60X_008_crop.nd2,8,6,1,0.490884,0.199845,1.20577,0.740512,0.810058,0.425207,2.83291e+07,1.2432e+08,48.3009,35.8195,1,0.50776,1,4.6702,1,25.6421
,,,3,0.660848,0.0584867,7.46699,0.883639,0.816543,0.620754,4.50431e+07,1.11034e+07,15.0508,11.069,2,,1,3.40327,1,9.39454
,,,4,0.614989,0.324204,1.16659,0.817207,0.805053,0.581829,403120,1.9446e+08,61.4838,34.7545,3,2.00135,1,4.77696,1,8.83651
