Filename,SegCellCount,NucleiCount,CellID,SumGolATG9,totATG9A,PearsonCoeff,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2,MajorAxisLength,MinorAxisLength,nCell,NucDis,pCell,nonGolATG9Dis,nonGolATG9Vol,nonGolATG9MaxInt,gCell,GolATG9Dis,GolATG9Vol,GolATG9MaxInt
,,,,,,,,,,,,,,,,2,8.56739,0.00705104,1221,,,,
,,,,,,,,,,,,,,,,2,8.97666,0.126919,1579,,,,
,,,,,,,,,,,,,,,,2,10.3891,0.00705104,1009,,,,
,,,,,,,,,,,,,,,,2,24.5104,0.373705,1955,,,,
,,,,,,,,,,,,,,,,2,17.0679,0.00705104,1016,,,,
,,,,,,,,,,,,,,,,2,22.7321,0.0564083,1184,,,,
,,,,,,,,,,,,,,,,2,10.7886,0.0211531,1280,,,,
,,,,,,,,,,,,,,,,2,21.6364,0.0493572,1313,,,,
,,,,,,,,,,,,,,,,2,24.5582,0.0705104,1204,,,,
,,,,,,,,,,,,,,,,2,8.36703,0.162174,1412,,,,
,,,,,,,,,,,,,,,,2,19.9845,0.0141021,975,,,,
,,,,,,,,,,,,,,,,2,22.376,0.0352552,1241,,,,
,,,,,,,,,,,,,,,,2,24.1439,0.0775614,1461,,,,
,,,,,,,,,,,,,,,,2,5.1516,1.12817,2561,,,,
,,,,,,,,,,,,,,,,2,17.783,1.40316,2916,,,,
,,,,,,,,,,,,,,,,2,20.4492,1.43841,2421,,,,
,,,,,,,,,,,,,,,,2,16.5115,0.803818,1809,,,,
,,,,,,,,,,,,,,,,2,18.3062,0.225633,1453,,,,
,,,,,,,,,,,,,,,,2,14.1454,0.514726,1758,,,,
,,,,,,,,,,,,,,,,2,16.9488,1.93198,2835,,,,
,,,,,,,,,,,,,,,,2,4.23029,4.42805,3543,,,,
,,,,,,,,,,,,,,,,2,8.52278,0.303195,2388,,,,
,,,,,,,,,,,,,,,,2,9.64765,0.465368,1879,,,,
,,,,,,,,,,,,,,,,2,20.5583,0.0423062,1118,,,,
,,,,,,,,,,,,,,,,2,16.0827,0.0564083,1454,,,,
,,,,,,,,,,,,,,,,2,8.13307,0.260888,1675,,,,
,,,,,,,,,,,,,,,,2,17.9256,0.260888,1558,,,,
,,,,,,,,,,,,,,,,2,11.6289,0.0634593,1183,,,,
,,,,,,,,,,,,,,,,2,10.8159,0.0916635,1525,,,,
,,,,,,,,,,,,,,,,2,18.081,0.68395,2680,,,,
,,,,,,,,,,,,,,,,2,8.34407,0.282041,1634,,,,
,,,,,,,,,,,,,,,,2,18.1378,0.0141021,1193,,,,
,,,,,,,,,,,,,,,,2,7.75628,0.719206,2072,,,,
,,,,,,,,,,,,,,,,2,8.66948,0.141021,1276,,,,
,,,,,,,,,,,,,,,,2,9.19294,0.74741,2840,,,,
,,,,,,,,,,,,,,,,2,7.72305,0.183327,1653,,,,
